원문,번역문
RFID를 도입하여 운영관리의 효율성을 높이는 정책은 조직 내부의 반대에 부딪혔습니다.,The policy to increase management efficiency by introducing RFID encountered opposition within the organization.
번역 및 가이드 비용으로 100원을 받았습니다.,I received 100 won for translations and guidance.
너무 어두워서 얼굴이 확연히 보이지 않는 이 사진은 치킨과 맥주 축제의 마지막 추억입니다.,"The faces are not clearly visible because it was so dark, this photo is our last memory from the chicken and beer festival."
그러나 일본 대학은 들어가기가 어렵죠.,But it is hard to get into Japanese universities.
그는 두 개의 심장을 가진 것처럼 활동적입니다.,He is energetic as if he has two hearts.
너의 인형은 1월 첫째 주에 발송이 될 예정이야.,Your doll is scheduled to be dispatched during the first week of January.
이 마스카라는 번짐이나 처짐이 없어요.,This mascara has no bleeding or sagging.
이 매뉴얼을 독일어로 바꿔서 우리에게 보내주면 제품 포장 시에 같이 넣어서 공급하도록 하겠습니다.,"If you translate this manual in German and send it to us, we will supply it by putting it together when packing the product."
신문마다 장점이 있어서 특별히 하나가 가장 낫다고는 말 못 하겠어요.,"Each paper has its good points, and we can't say any particular one is the best."
너 운동하다가 허리를 다쳐서 병원 다니는 거야?,Are you going to hospital as you hurt your waist during working out?
그렇다면 기존 세로 견적 비용에 반값으로 진행하면 될 듯싶어요.,"If so, I think we can proceed on half of the estimated fee of the existing vertical one."
이런 일들이 있을지 몰라서 제가 저축을 하는 거예요.,I'm saving because I don't know what things will happen.
그 식당은 해양경찰청 옆에 있어요.,That restaurant is beside the marine police station.
"자, 한국 회사에서 저희 대신 보내주신 40세트의 정산에 대해 문의드리고 싶습니다.","Now, I'd love to inquire about the settlement of 40 sets that Korean company sent instead of us."
아무튼 일단 오늘 보낸 예상 판매 수량을 기반으로 자재 확보를 할 수 있도록 구매팀에 요청하겠습니다.,"Anyway, we will ask the purchasing team to procure materials on the basis of the expected unit sales which we sent today."
저는 돼지갈비로 할게요.,I'll have the pork chops.
그 남자가 어디로 간 거에요?,Where did he go?
가을에 낙엽이 떨어지면 더 예뻐.,It is prettier when leaves fall during autumn.
그걸 어떻게 쳤는지 저도 절대 기억이 안 나요.,"I can never remember how I hit that, either."
5파운드 이하의 선물을 교환했어요.,We exchanged presents under 5 pounds.
밤에는 고양이들이 전부 잿빛이 된다고 합니다.,Cats are all gray at night.
나는 파리에서 일자리를 구할 수 없었어요.,I couldn't find a job in Paris.
저는 다리가 부러져서 할 수 있는 운동이 많이 없었기 때문에 배드민턴을 좋아하게 되었습니다.,I began to like badminton since my leg was broken so I didn't have many choices.
내가 살아있는 동안 너는 내 아기야.,"As long as I alive, you are my baby."
나의 과외 선생님이 바뀌었는데 숙제가 너무 많다.,My private tutor has been changed and there are too much homework now.
나는 일상적인 대화 연습을 원해요.,I want to practice a casual conversation.
금요일에 나도 집으로 돌아와야 할 것 같아.,I think I should also come back home on Friday.
도축장 정류장에서 녹색 버스 593번을 탄 뒤 동암역 정류장에서 내립니다.,"Take the green bus 593 at the slaughterhouse station, and get off at the Dongam station."
저는 상처를 받기 쉬우며 그 상처도 오래갑니다.,I'm vulnerable to get hurt and the wound lasts long too.
왜 친구는 학교에 오지 않았어요?,Why is your friend absent?
아이폰은 너무 폐쇄적이라 아이튠즈를 거쳐야 하는 불편함이 있다.,"IPhone has a too closed system, making me have to go through iTunes."
이것은 양산 차량 제어를 가능케 합니다.,It enables the control of mass-produced vehicles.
여자는 쇼핑할 때 여러 곳을 돌아다닌다.,Women wander several places when they go shopping.
번호 형식으로 입력해 주시기 바랍니다.,Please enter in the format of numbers.
모노레일을 금방 탈 수 있는 데가 어디인지 아세요?,Do you know where I can easily get on a monorail?
우리 팀에 와 줘서 너무 기쁘게 생각합니다.,I'm so glad that you come to my team.
우리가 들어왔을 때 사람이 별로 없었다.,There were a few people when we came in.
우리는 그 무엇보다도 빛났어요.,We were shining than any other things.
우리에게 대화할 시간이 부족해요.,We don't have enough time to talk to each other.
여행 가기 전에 준비가 너무 힘들어요.,It is quite difficult to prepare for the trip.
그녀는 여자는 무조건 약하다고 하며 남자들은 여자들보다 강하므로 여자들에게 절대 봉사하는 것이 당연하다는 논조를 펼치는 여자입니다.,She is a woman who argues that it is natural for men to volunteer for women since men are stronger than women.
그럼 시간 내서 여행 다녀와.,Then make time for a trip.
그래서 대만에 대해 더 많이 알고 싶어요.,I want to know about Taiwan more and more.
매일 매일 열심히 사는 모습의 사람들을 만나라고 말하고 싶어요.,I want to say to meet people who live their lives every day to the fullest.
그들은 패킹에 대하여 구체적으로 알아야 합니다.,They need to know about packing concretely.
그래서 나는 그것을 이 학교에 신청하지 못했어요.,So I couldn't apply it to school.
오늘은 일요일이고 나는 오늘 가족과 함께 대전에서 특별한 일을 해냈다.,It's Sunday and I did a special thing with my family in Daejeon!
나는 휴대폰으로 이메일도 보내고 영화도 봐.,I send an email and watch a movie using my phone.
당신이 그렇게 하실 수는 없죠.,You can't do that.
난 미국을 싫어하지도 않고 미국에 있는 내 친구들이 너무 좋아.,I love my friends in the United States and I don't hate the United States.
너는 나의 첫 번째 외국인 친구고 가장 좋아하는 친구야.,You are my first foreign friend and favorite friend overall.
당신은 여전히 마음 깊숙이 나를 사랑하나요?,Do you still love me from the bottom of your heart?
나는 다음 주에 보러 갈 겁니다.,I'm going to see it next week.
오늘 sunny cubi 차장님과 정창은 사원이 강림으로 방문하였습니다.,Manager Sunny Cubi and Manager Jung Chang Eun visited GangLim today.
나는 늦게 퇴근하는 것을 안 좋아합니다.,I don't like getting off late.
그래서 저는 한국의 저출산 고령화의 문제와 현재 진행되는 해결방안과 새로운 해결방안에 대해 분석할 예정이에요.,"So I'm going to analyze Korea's low birth and aging problem, solutions that are currently being progressed, and new solutions."
일하는 곳이 집에서 가까워서 굉장히 편하겠네.,It sounds comfortable that your workplace is close to home.
난 어젯밤 퇴근 후에 친구들을 만나서 치킨과 맥주를 먹었어요.,I met my friends after work last night for chicken and beer.
밴쿠버에서 에드먼튼까지의 보세운송 비용 알려 드립니다.,I’d like to report you the price of bonded transportation from Vancouver to Edmonton.
"2,000원은 이걸 번역해주시는 분께 선물로 드려야지.","I will give 2,000 won as a present to someone who translates it."
너 집 사면 나 데리러 올 거지?,"When you get a house, are you going to come for me?"
나는 네가 그 사람이랑 연락하는 것을 보았을 때 질투가 났어.,I became jealous when I saw you keeping in touch with that person.
나는 이번 화이트데이를 남자 친구와 보냈어요.,"On White Day, I stayed with my boyfriend."
나는 네가 좋은 생각을 하길 원해요.,I want you to have nice thoughts.
그는 내일 연습을 해야 됩니다.,He has to practice tomorrow.
저는 로저스 박사입니다.,I'm Dr. Rogers.
여권상 성과 이름을 바꿔서 예약했는데 공항 입국 시 문제가 될까요?,"For my reservation, I made a mistake of inputting my last name shown on my passport for first name and vice versa."
당신이 123공장으로 가는 A 회사 건이라고 하면 발송자 측에서 알아서 해준다고 합니다.,"If you say it is a deal with company A going to factory 123, the forwarder will take care of the other things."
나는 절대 이 게임을 끝까지 못마칠거야.,I'll never be able to complete this game in its entirety.
아까 제가 당신한테 얘기했잖아요.,I told you earlier.
너희가 카메라를 설치할 환경과 다르기 때문에 이런 현상이 발생하지 않을 수도 있다.,"The environment youre going to install the camera is different from ours, so this problem might not happen."
내가 베트남에서 태어났다면 당신을 만날 수 있었을까요?,Could I have met you if I was born in Vietnam?
다음번에는 동작을 지금처럼 다 알려준 뒤 음악과 댄스와 함께 끊지 말고 알려주세요.,Next time please show me the choreography as you did now and teach me with both the music and dance moves without pausing.
만화 같은 눈을 가질 수 있는 기회야.,This is a chance to have eyes like that of a cartoon.
당신이 임신하지 못한다는 이야기인가요?,Are you saying that you cannot be pregnant?
"그 사람을 통해서 나는 실수를 하지 않는 방법을 배웠고, 그녀 덕분에 나는 나를 더 잘 알게 됐어.","Because of her, I now learned not to make mistakes, and she's the person that made me understand more about myself."
굳이 전화해서 내게 준 것들이 볼품없는 것들뿐이라는 걸 상기 시켜 주더라.,He put forth the effort to call me to remind me that all I ever gave him were all worthless.
나의 소망 중의 하나는 모든 주변 사람들이 나로 인해 활력을 찾았으면 좋겠다는 것입니다.,One of my hopes is for everyone around me to gain energy back because of me.
우리 내일 버스 타는 연습 할 수 있어.,We can practice taking the bus tomorrow too.
내가 킴을 행복하게 만들어 줄게요.,I will make Kim happy.
나는 가난한 아이들이 너무 불쌍해요.,I feel so sorry for the poor children.
월요일에 인증서를 가지고 오는 거야.,Bring the certificate on Monday.
"우선 아래의 인터넷에서 아래의 코드를 보고, 제 서버 블록에는 추가한 상태에요.",I found the code below on Internet and added it on my Server Block.
이것은 색다른 디자인의 2008년도 코카콜라 병입니다.,This is a unique design of the Coca-cola bottle made in 2008.
내일 워크숍엔 뭘 가져가야 하나요?,What should I bring to the workshop tomorrow?
빨리 여름이 와서 같이 놀러 다니고 싶어.,I can't wait for summer to come and hang out with you.
이 사건으로 상대 팀은 우승을 양보했어요.,"Due to this case, the opponent team gave away the championship."
그다음 자석에 본드를 바를 곳을 표시해요.,"Then, mark the spot on the magnet that you're gonna apply bond on."
"미야, 날씨가 참 좋지 않아요?","Miya, Isn't the weather so nice?"
그녀는 우리에게 짐이 될까 봐 걱정해요.,She is worried she will be a burden for us.
우리의 한 주에 관해 이야기해요.,Let's talk about our week.
"분자 수준의 순간 이동에 성공했지만, 나중에 사람이나 사물을 순간 이동시킬 수 있습니다.","Although you succeeded in the molecular level of teleporting, you will be able to teleport people or things later on."
우리는 새 천년의 시작을 축하했습니다.,We celebrated the beginning of a new millennium.
인천광역시 연수구 송도동 6-9 쉐라톤인천호텔 6층입니다.,"It is on the 6th floor of Sheraton Incheon Hotel, 6-9, Songdo-dong, Yonsu-gu, Incheon City."
우리의 인형의 eyes는 6mm가 가장 잘 맞고 8mm eyes는 BEBE 인형과 MOMA 에 맞는다.,"6mm eyes are the best fits for our dolls' eyes, and 8mm eyes are suitable for BEBE and Momo dolls."
그거 다시 한번 확실히 확인하세요.,Check that again to be sure.
"그때 어떤 중년 남성분께서 집이 어디냐 라며 물어보시면서, 저에게 버스비를 빌려주셨습니다.","A middle-aged man asked me where I was headed to at that time, and he gave me money to pay for the bus."
당신 자고 일어나면 저한테 연락 주실 수 있어요?,Can you please contact me when you wake up?
벌칙은 토이컴 친구들이 댓글로 남겨주세요.,"Toycom friends, leave on comments for the penalty to give."
"당신의 협조로 입찰을 시도하였으나, 서류가 양식에 맞지 않다는 사유로 입찰 등록이 거부되었습니다.","We tried to bid with your cooperation, but the registration for bidding was rejected because the document is not suited for paper form."
그녀를 사랑하려면 당신은 자격증이 먼저 있어야 합니다.,"If you are going to love her, you should have a license first."
"단, 전 7.9.2 항의 휴직자가 복직 명령을 받지 못한 때에는 면직된 것으로 본다.","However, if a leave of absence in 7.9.2 above does not receive a reinstatement order, it shall be deemed to be removed."
저는 늦은 시간까지 일합니다.,I'm working late.
인디언 섬에는 이들 외에 아무도 없다.,There is no one else on the Indian island apart from these.
이전의 계란 프라이와는 조금 다른 조리 방법의 스크램블드 에그도 있는데요.,There's also a scrambled egg that's a little different from previously fried eggs.
나는 검정 조끼와 빨간 모자를 쓰고 사진을 찍었다.,I took a picture wearing a black vest and a red hat.
나는 시를 잘 적었다고 칭찬받았어.,I was complimented for writing a good poem.
당신 시간 있을 때 내 집으로 와서 놀다가.,"When you have time, come to visit my house and play."
상세 가격은 첨부 파일에 있습니다.,Detailed prices are in the attached file.
저는 종일 집에만 있었어요.,I stayed at home the whole day.
"사회복지의 분야에는 아동, 청소년, 학교, 장애인, 노인, 교정, 의료 등이 있습니다.","In the field of social welfare, there are children, adolescents, and school, disabled, elderly, medical at prison and healthcare."
수압이 너무 약해진걸보니 펌프가 고장난거같아요.,"The water pressure is weak, so I think the pumps broke down."
우리는 가능한 한 빨리 이탈리아 및 한국 내 비용에 대한 견적을 드리겠습니다.,We will give you an estimate of the expenses of Italy and South Korea as soon as possible.
당신은 운동을 잘하고 우리는 다음 주에 보자.,Have a good work out and I will see you next week.
나는 당신 집에서 가정부라도 해야 합니다.,I need to be a housekeeper at your house.
"위로가 필요해, 아무나 나 좀 안아 줘.","I need some comfort, just give me a hug."
이 말이 당신에게 가장 하고 싶었어요.,This is what I wanted to tell you most.
이것은 한순간에 관계가 깨질 수 있다는 것을 알려줍니다.,It shows that relationships can break apart in one second.
이중화 서비스는 무중단 서비스를 위해 비즈니스 서비스 및 데이터베이스에 대한 이중화 기능입니다.,Redundant service is a redundant function of a database and business services for continuous service.
그녀가 내년에 대학을 가야만 해요.,She should go to college next year.
가까운데 계시면 오랜만에 뵈었으면 합니다.,I would like to see you after so long if you are nearby.
음악을 전공하고 있는 아이폰 유저들은 아이폰이 녹음기능이 훨씬 좋다고 해요.,"IPhone users who are majoring in music, say that the iPhone has better recording capabilities."
그녀는 훌륭한 치아를 가진 소년을 발견했습니다.,She discovered the boy who has nice teeth.
"건조한 피부를 그대로 방치해두면, 깊은 주름이 생겨버린다는 점 잊지 마시고 미리미리 관리합시다.","Do not forget that dry skin will leave you deep wrinkles, and take care of that in advance."
거북이와 토끼는 나무 아래서 긴 시간을 함께 보냈어요.,Turtle and rabbit spent a long time together under the tree.
앞으로 중국인 상대 비즈니스가 더욱 좋아질 것입니다.,Business with Chinese will get better in the future.
나는 전자 제품을 살 때 기능을 고려합니다.,I consider the function when I buy electronic products.
그녀에게 필요한 것이 있으면 더 요구하라고 했어요.,I told her to ask me if there is anything she needs more.
이 공간을 자유롭게 깨끗하게 조용하게 사용하여도 좋습니다.,"It would be nice for you to use this place freely, clean, and quietly."
어젯밤 회의는 잘 마무리됐나요?,How did the meeting go yesterday night?
어디 파손된 곳은 없나요?,Is there anywhere that is damaged?
"인터넷으로 예약했는데, 확인 좀 해주시겠어요?",Can you please confirm it?
자기가 한국에 두 달이면 오게 돼.,You will be coming to Korea after two months.
물류 폴더에 회사 간 마감 관련 자료가 정확하지 않아 월 마감을 진행하는데 문제점이 있습니다.,There is a problem regarding monthly closing due to inaccurate data upon intercompany closings in logistic folder.
그리고 깨끗하게 연마하여 보내 주세요.,And send me after polishing up cleanly please.
"2002년 월드컵 당시, 나는 길거리에 울려 퍼진 이 노래가 신기하면서도 좋았어.","During the World Cup in 2002, the music played in the streets was fascinating to me."
저는 정치의 정자도 모릅니다.,I don't know the ABC's of politics.
나는 지금 졸려서 낮잠을 자려고 해요.,I'm sleepy so I will take a nap.
여수에서는 엑스포를 둘러볼 예정입니다.,"In Yeosu, I will visit the EXPO."
"그들이 그런 말을 자주 하는 것을 듣고, 우리는 우리가 할 수 있는 일에 제한을 두고 다른 대부분의 사람도 따라가는 안정된 진로를 따라갑니다.","Hearing them often saying such a thing, we put a limit on what we can do and follow a stable career path which most of the others follow as well."
너는 언제 일이 일찍 끝나?,When do you finish your work early?
저는 이 코트를 이메일 주문으로 샀어요.,I bought this coat by mail order.
물건들을 개별적으로 지불해도 되나요?,Can I pay for each item separately?
번거로운 문제를 드려서 죄송합니다.,I am sorry to have caused you so much trouble.
요즘 저는 이분이 자꾸 생각이 납니다.,"Lately, I can't stop thinking about this man."
강남스타일은 빌보드에서 7주 동안 2위를 했어요.,Gangnam Style has been ranked in the second place on Billboard for 7 weeks.
"성별, 신장, 체중, 총 마취 시간은 유사했습니다.","The gender, height, weight, total anesthesia time was similar to each other."
그러나 한 개 문서를 제외하고 23일까지 제출 되어야 하는 문서 10 개가 지연되고 있습니다.,"But except for a document, 10 documents which are to be submitted by the 23rd are delayed."
꼼꼼한 성격이 업무를 하는 데 있어 강점이 될 것입니다.,My meticulous personality will be a plus point for work.
그만큼 사람들의 수명이 늘어났다는 것입니다.,This means that a person's life expectancy has been increased.
이렇게 나를 행복하게 만들어주어서 항상 감사하고 있습니다.,I have always been grateful for making me live in happiness.
나는 일반인들은 하기 힘든 머리 스타일을 만들어요.,I make a hairstyle that is hard for ordinary people to do.
만약 내가 그때 가서 좋은 점수를 얻는다면 그때 IELTS를 다시 준비할 거야 편입을 위해서.,"If I get a good grade at that time, I will prepare the IELTS again to transfer."
그것은 정말로 나를 해치는 적이었어.,It was really an enemy that hurt me.
나에게 기념이 될 만한 너의 물건을 줬으면 해.,I'd like you to give me something of yours to remember you.
1년간 유학을 하는데 비용은 얼마나 드나요?,How much does it cost to study abroad for a year?
밥을 먹고 이따 9시에 봐요!,See you at 9 later after dinner!
스티븐은 잘 지내고 있어요?,Is Steven well?
나는 모기가 그렇게 무서운 곤충인지 몰랐어.,I didn't realize mosquito was such a dangerous insect.
그리고 저희는 오직 한국의 디스트리뷰터입니다.,And we are the only distributor in Korea.
내일 늦게 일어날 것 같아요.,I think I will wake up late tomorrow.
왜 그렇게밖에 못하니?,Is this the best you can do?
저는 그와 함께 나가고 싶지 않아요.,I don't want to go out with him.
우린 아이스하키라는 공통 관심사가 있잖아.,"We have the same interest, ice hockey."
나는 발칸 여행에서 화요일에 돌아왔습니다.,I came back Tuesday from my trip to the Balkans.
우리는 돌아가는 걸로 합의했어요.,We agreed on going back.
앞으로도 좋은 작품에서 만날 수 있었으면 좋겠네요.,I hope to see you in other great pieces again.
나는 당신의 남은 1달이 유익한 시간을 보내길 기원합니다.,I hope that you have a beneficial time during the rest of 1month.
벌써 등에서 땀이 나고 있어요.,My back is sweating already.
저 역시 아들에 대해 많은 것을 알게 되었습니다.,I also got to know more about my son.
소환된 신은 한때 인간이었지만 현재는 인간을 배신한 타락의 신 '파티타'입니다.,"God who brined up was a human but now he is a 'Patita', god of corruption."
이 통장을 이용해 돈을 저축할 수 있고 또 찾을 수도 있습니다.,You can save and withdraw money with this bank account.
비행기에서 무슨 일이 일어났습니까?,What happened on the plane?
가장 인기 있는 메뉴는 김치입니다.,The most popular menu is Kimchi.
나 자신을 사랑하는 것이 사랑의 시작이에요.,Loving yourself is how to begin loving.
이거 정말이지 실망스럽네요.,How disappointing.
저는 곧 있으면 졸업합니다.,I will soon graduate.
나는 백화점에서 일하고 있었어요.,I was working at a department store.
왜냐하면 멋진 몸매를 만들고 싶기 때문이에요.,Because i want to have a nice body.
저는 한국공항공사에서 실습한 경험이 있습니다.,I have work experience at Korea Airports Corporation.
사람 들은 영국 사람들이 불친절하다고 생각하지만 운 좋게도 나는 그를 만났어.,"People think that the British are unkind, but fortunately, I met him."
오늘 저녁으로는 뭐 먹을 거니?,What do you eat for dinner?
나는 말을 위해 말 안장을 덧댔어요.,I saddled the horse for the horse.
"나는 이곳에 갔을 때 모자를 쓰고 갔는데, 이 다리를 건너다가 모자가 날아간 적이 있어.","I went wearing a hat when I went to this place, but it was gone when I was crossing this bridge."
레오를 중점적으로 작성을 도와주세요.,Help Leo intensively to write.
사격장 주차장을 가로질러 가다 보면 산림욕장으로 가는 등산로 진입로가 보입니다.,"If you walk across the shooting range parking lot, you will see the entry point of the hiking trail that leads to the forest park."
내가 항상 외로웠기 때문이에요.,It was because I was always lonely.
1인당 2매까지 구매 가능하며 선물하기 포함이에요.,You could purchase 2 per 1 person including gift.
앞으로의 모든 중요한 공지가 이 이메일 주소로 보내지게 됩니다.,"From now on, every information will send through your Email."
당신이 알려주신 메일 주소로 메일 보냈습니다.,I sent an e-mail to the email address that you informed.
이건 아이폰을 사용하면서 가장 불편한 점이었어.,It was the most inconvenient thing when I used the iPhone.
당신은 아마 저 때문에 잠을 잘 못 잤을 거예요.,You probably did'nt sleep well because of me.
응급상황이 발생하면 먼저 주변 스태프에게 알려주시기 바랍니다.,"If an emergency occurs, please inform any staff nearby."
배송은 당신이 회원가입 시 적어주신 곳으로 배송되오니 주소를 정확하게 입력해주세요.,"It will be delivered to the address you initially registered when joining, so please make sure it is accurate."
난 어제 오늘 이태원에 가지 않았어.,I didn't go to Itaewon today and yesterday..
세금 환급을 받으려면 2층 환급센터로 방문하셔야 합니다.,"For tax returns, you should visit the return center on the 2nd floor."
당신에 대해 가족들이 무척 자랑스러워하겠네요.,Your family must be really proud of you.
빠르고 정확한 작업이 필요합니다.,Prompt and accurate work is required.
그는 너희가 야외 체험장에서 많이 체험하기를 바라.,He hopes you all to have a lot of experience in an outdoor place.
나는 5월에 다시 가입할 것입니다.,I will rejoin in May.
오랜만의 휴식이 나에겐 천국처럼 느껴집니다.,This rest in such a long time feels like heaven to me.
손잡이 위치가 280mm 쪽으로 변경됐습니다.,The position of the handle changed to 280mm on the side.
가능하다면 나는 오늘 그 일을 끝내고 싶어.,I want to finish the job today if possible.
나는 부드러운 사람을 원합니다 나를 힘들게 하는 사람은 싫어요.,"I like people with a soft touch, not a person who will make life difficult."
저는 그 팀을 이끌어 갈 자신이 있습니다.,I am confident to lead the team.
저는 벨 서비스를 부탁하려고요.,I'd like to ask for the bell service.
오늘 제 파티에 와 주셔서 감사합니다.,Thank you for coming to my party today.
저는 아르바이트 경험도 몇 번 있었습니다.,I had some part-time job experiences.
이 축제는 우리나라에서 한 번 개최되었습니다.,This festival was held in Korea once.
"사회 세계에는 정치, 경제 문화 및 역사적 맥락이 포함됩니다.","The social world includes political, economic culture and historical contexts."
비언어적인 의사소통은 다른 의사소통 방법으로 전달되는 메시지와 모순될 수 있다.,Nonverbal communication can contradict the message conveyed through another method of communication.
다시 케이스백을 빠르게 보내주신다니 감사합니다.,Thanks for sending a new case bag.
"내가 번역을 했는데, 이 문장이 정확한 것일까?","I did the translation, is this sentence correct?"
나는 설 명절을 준비하기 위해 마트에 왔다.,I came to the mart to prepare Lunar New Year's Day.
그 스펠링은 확실합니까?,Is that the right spelling?
일주일 전 저는 친척 오빠의 결혼식에 참가했어요.,"A week ago, I attended my cousin's wedding."
설치기술지원자 남인우입니다.,"I am an applicant for installation technology, Nam Yeonwoo."
이곳은 내 고향보다 문명 쪽으로는 더 발달했습니다.,Here is more developed than my hometown in civilization.
나는 나랑 놀아줄 수 있는 남자친구가 필요해.,I need a boyfriend who can spend time with me.
거스름돈을 줄 때 던지듯이 내어줘.,They give change as if they are throwing them.
나한테 편지를 써서 보내줄래요?,Will you post the letter for me?
당신은 칩 샷을 하면 됩니다.,You can chip it in.
"3개 남아있는데, 몇 조각 드릴까요?","I have 3 left, how many pieces do you want?"
금리 및 외환 시장의 움직임이 한국 경제에 직접적인 영향을 가져와요.,Interest rate and currency market's movement bring direct influence to the Korean economy.
그렇기 때문에 많은 여성에게 인기 있었던 것 같아.,I think a lot of women were attracted because of that.
나는 7~9월 중에 필리핀에 가게 될 것입니다.,I will be going to the Philippines from between July to September.
잘 지내고 있다는 말 한마디에 눈물이 쏟아집니다.,I burst into tears after hearing that he/she is doing well..
날씨가 따뜻해졌기 때문에 옷을 가볍게 입어야겠다.,"Since the weather was warm, I played in the playground with my friends."
그리고 오늘은 회사에서 송년회가 있어요.,And today the company had a year-end party.
그녀의 머리 가길 때도 예뻤지만 짧은 머리인 지금 그녀의 머리도 좋다.,"She was also pretty when she had long hair, but I still like her with short hair now."
레시피에 나오는 컵이 머그잔을 말하는 건가요?,Does the cup mentioned in the recipe mean a mug cup?
당신이 오기를 기쁜 맘으로 기다리고 있었어요.,We were looking forward to your visit with pleasure.
나는 음악 듣는 걸 정말 좋아합니다.,I like listening to music.
나는 일이 끝나면 딱히 취미가 없어.,I don't really have a hobby after work.
그는 의지가 되기 때문에 안심입니다.,I feel at ease because he is so dependable.
우리는 교육을 받으러 서울에 갑니다.,We go to Seoul to receive education.
그가 지금 일을 바꾸려고 하고 있어.,He is trying to change jobs now.
그래서인지 요즘 젊은이들은 자신의 기술과 능력을 통해 그들과 같이 유명해지길 원해요.,"Because of the reason, younger generations want to be famous through their skills and abilities like them."
내가 너를 위해서 얼마나 많이 노력하는지 너는 알아야 해.,You should know how much I struggled for you.
2015년 예상 수요는 2006년과 2014년 사이의 연평균 성장률입니다.,The expected demand for 2015 is reflected in the annual average growth rate from 2006 to 2014.
너는 한국에 언제 또 오니?,When will you visit Korea again?
"그 경험에서 배웠듯이, 저는 어디서나 빠른 적응과 능숙하게 일을 하기 위해 노력합니다.","As learned from that experience, I do my best to adapt quickly and work proficiently at anywhere."
이 편지가 도쿄로 가는데 얼마나 걸려요?,How long does this letter take to get to Tokyo?
당신이 생각하기에 남들과 비교했을 때 당신의 장점은 무엇인가요?,"In your opinion, what's your best quality when compared to other people?"
내가 하와이에 도착했을 때 그곳은 화창한 오후였어요.,It was a sunny afternoon when I arrived in Hawaii.
이것이 우리가 고난을 견디는 방법입니다.,This is the way we endure hardships.
이외의 많은 멸종 위기 종이 발견되고 있습니다.,Many other endangered species are being discovered.
내가 모자를 주문했습니다.,I ordered a hat.
"브룩맨은 이 새로운 것들을, 사회적 상상의 표출이라고 부른다.",Brueggemann calls these new things the release of social imagination.
나 잘하면 금요일에 일본에 있을 수도 있어.,Perhaps I could be in Japan on Friday.
당신이 이곳을 방문해 보기를 추천합니다.,I recommend that you visit here.
열기가 있는 곳에 가까이 두지 마세요.,Please don't leave it near the heat.
베어마켓에 아르고가 상장하게 될 때 시장 리스크를 해소하기 위한 계획이 있나요?,Is there any plan to resolve market risk when Aergo is listed on bear market?
나는 눈이 예쁘고 착하게 생긴 여자가 좋아요.,I like a nice-looking girl who has pretty eyes.
내일은 아마 날씨가 흐릴 거에요.,It might be overcast tomorrow.
그녀는 재미있으시고 내가 그녀로부터 배울 점이 많기 때문이야.,The reason is that she is funny and has a lot of things for me to learn from her.
그것을 활용하여 마케팅을 진행했습니다.,I proceeded marketing by using it.
그는 전혀 나에게 시선을 주지 않아.,He won't turn around and look at me at all.
나는 내일 집안일 때문에 쉴 예정입니다.,I'm going to take a break tomorrow because of my housework.
스파게티는 이탈리아에서 온 국수예요.,Spaghetti is noodles from Italy.
내가 핸드폰으로 촬영해서 화질이 정말 안 좋아.,It has a very bad image quality as I filmed it with my mobile phone.
긍정적이고 창의적인 사고가 중요합니다.,Positive and creative thinking is important.
당신의 모든 것을 내게 얘기해주세요.,Tell me everything about you.
"그렇지 않아요, 벚꽃놀이 기간에는 차량을 통제해서 차가 다닐 수 없거든요.","No, because cars are not permitted by traffic control during the cherry blossoms season."
드래건 룸 공사도면을 보내주시면 확인 후 공사 견적서를 보내드리겠습니다.,Send me the plan for Dragon room and ill send an estimate after checking it.
저는 간식을 그다지 좋아하지 않습니다.,I don't like snacks very much.
그는 우리 둘이 있을 때 점점 나에게 장난을 쳐요.,He plays tricks on me more and more when we're together.
이건 한국에서 제일 따뜻한 옷 중 하나야.,This is one of the warmest clothes in Korea.
자연계에 존재하는 천연 물질로 분자량이 적어 체내 흡수율이 높은 성분입니다.,It is the natural substance existing in the natural world and has little molecular weight and hence is a component with high internal absorptance.
"아이-빕의 선물 포장 서비스를 통해 소중한 날, 가까운 지인에게 매력 만점 선물하세요.","Using gift packaging service of I-bib, you can give attractive present to close friends."
그 예시로 '탈리도마이드' 사건과 '오프렌' 사건이 있습니다.,"For example, there were cases of 'Thalidomide' and 'Opren'."
어떻게 그 자리에 올라갔는지 알고 싶어요?,Would you like to know how he went up to the position?
불닭발이 맛있을 것 같아요.,The buldakbal looks delicious.
"세 번째, 국민들의 건강이 저하되면 국가는 더욱 큰 비용을 지급해야 해요.","Thirdly, the country should spend a lot more expense if the people's health are weakened."
An은 모두 tvi로 업그레이드하기로 했는데 IP는 센서 재고 수량을 확보할지 아니면 어떻게 할지 확인해주길 바랍니다.,Ann has decided to upgrade all the tvi so please confirm weather to secure the sensor stock for ip or not.
궂은일도 마다하지 않는 도전정신과 밝은 미소입니다.,It is a lovely smile and a challenging spirit that doesn't fear any hardship.
b 모델과 관련하여 적합한 견적을 뽑기 위해서는 어떤 정보를 알아야 하나요?,What kind of information do I need to know to work up an estimate appropriate for B model?
나는 수연이와 함께 즐거운 저녁 시간을 보냈습니다.,I had a great evening with Seu-Yeon.
작업을 진행하면서 UI와 UX에 대해 가장 고민했던 부분들 위주로 적어볼 생각입니다.,"As I work on it, I will write about the parts I was most concerned about UI and UX."
